,LABEL,YEAR,COUNT,Percentile,Rank
1,Abell,2014,286,10.67%,1
2,Allendale,2014,398,14.85%,1
3,Arcadia,2014,108,4.03%,1
4,Arlington,2014,340,12.69%,1
5,Armistead Gardens,2014,212,7.91%,1
6,Ashburton,2014,344,12.84%,1
7,Baltimore Highlands,2014,682,25.45%,2
8,Barclay,2014,516,19.25%,1
9,Barre Circle,2014,66,2.46%,1
10,Bayview,2014,218,8.13%,1
11,Beechfield,2014,298,11.12%,1
12,Belair-Edison,2014,2112,78.81%,4
13,Belair-Parkside,2014,72,2.69%,1
14,Bellona-Gittings,2014,32,1.19%,1
15,Belvedere,2014,110,4.10%,1
16,Berea,2014,416,15.52%,1
17,Better Waverly,2014,700,26.12%,2
18,Beverly Hills,2014,78,2.91%,1
19,Biddle Street,2014,216,8.06%,1
20,Blythewood,2014,2,0.07%,1
21,Bolton Hill,2014,544,20.30%,2
22,Boyd-Booth,2014,116,4.33%,1
23,Brewers Hill,2014,284,10.60%,1
24,Bridgeview/Greenlawn,2014,352,13.13%,1
25,Broadway East,2014,838,31.27%,2
26,Broening Manor,2014,234,8.73%,1
27,Brooklyn,2014,1160,43.28%,3
28,Burleith-Leighton,2014,110,4.10%,1
29,Butcher's Hill,2014,296,11.04%,1
30,Callaway-Garrison,2014,124,4.63%,1
31,Cameron Village,2014,200,7.46%,1
32,Canton,2014,1216,45.37%,3
33,Canton Industrial Area,2014,450,16.79%,1
34,CARE,2014,336,12.54%,1
35,Carroll-South Hilton,2014,128,4.78%,1
36,Carroll - Camden Industrial Area,2014,390,14.55%,1
37,Carroll Park,2014,80,2.99%,1
38,Carrollton Ridge,2014,752,28.06%,2
39,Cedarcroft,2014,56,2.09%,1
40,Cedmont,2014,334,12.46%,1
41,Cedonia,2014,220,8.21%,1
42,CENTRAL,2014,12,0.45%,1
43,Central Forest Park,2014,188,7.01%,1
44,Central Park Heights,2014,980,36.57%,2
45,Charles North,2014,612,22.84%,2
46,Charles Village,2014,680,25.37%,2
47,Cherry Hill,2014,1152,42.99%,3
48,Cheswolde,2014,180,6.72%,1
49,Chinquapin Park,2014,130,4.85%,1
50,Clifton Park,2014,202,7.54%,1
51,Coldspring,2014,76,2.84%,1
52,Coldstream Homestead Montebello,2014,1066,39.78%,2
53,Concerned Citizens Of Forest Park,2014,100,3.73%,1
54,Coppin Heights/Ash-Co-East,2014,342,12.76%,1
55,Cross Country,2014,166,6.19%,1
56,Cross Keys,2014,88,3.28%,1
57,Curtis Bay,2014,558,20.82%,2
58,Curtis Bay Industrial Area,2014,26,0.97%,1
59,Cylburn,2014,294,10.97%,1
60,Darley Park,2014,156,5.82%,1
61,Dickeyville,2014,28,1.04%,1
62,Dolfield,2014,282,10.52%,1
63,Dorchester,2014,242,9.03%,1
64,Downtown,2014,2680,100.00%,5
65,Downtown West,2014,348,12.99%,1
66,Druid Heights,2014,404,15.07%,1
67,Druid Hill Park,2014,52,1.94%,1
68,Dunbar-Broadway,2014,524,19.55%,1
69,Dundalk Marine Terminal,2014,2,0.07%,1
70,East Arlington,2014,202,7.54%,1
71,East Baltimore Midway,2014,812,30.30%,2
72,EASTERN,2014,8,0.30%,1
73,Easterwood,2014,250,9.33%,1
74,Eastwood,2014,56,2.09%,1
75,Edgewood,2014,246,9.18%,1
76,Edmondson Village,2014,326,12.16%,1
77,Ednor Gardens-Lakeside,2014,646,24.10%,2
78,Ellwood Park/Monument,2014,742,27.69%,2
79,Evergreen,2014,30,1.12%,1
80,Evergreen Lawn,2014,122,4.55%,1
81,Evesham Park,2014,74,2.76%,1
82,Fairfield Area,2014,160,5.97%,1
83,Fairmont,2014,172,6.42%,1
84,Fallstaff,2014,298,11.12%,1
85,Federal Hill,2014,552,20.60%,2
86,Fells Point,2014,1104,41.19%,3
87,Forest Park,2014,240,8.96%,1
88,Forest Park Golf Course,2014,40,1.49%,1
89,Four By Four,2014,160,5.97%,1
90,Frankford,2014,2236,83.43%,5
91,Franklin Square,2014,458,17.09%,1
92,Franklintown,2014,84,3.13%,1
93,Franklintown Road,2014,226,8.43%,1
94,Garwyn Oaks,2014,150,5.60%,1
95,Gay Street,2014,398,14.85%,1
96,Glen,2014,514,19.18%,1
97,Glen Oaks,2014,364,13.58%,1
98,Glenham-Belhar,2014,664,24.78%,2
99,Graceland Park,2014,282,10.52%,1
100,Greektown,2014,498,18.58%,1
101,Greenmount Cemetery,2014,10,0.37%,1
102,Greenmount West,2014,394,14.70%,1
103,Greenspring,2014,280,10.45%,1
104,Grove Park,2014,178,6.64%,1
105,Guilford,2014,246,9.18%,1
106,Gwynns Falls,2014,138,5.15%,1
107,Gwynns Falls/Leakin Park,2014,22,0.82%,1
108,Hamilton Hills,2014,1170,43.66%,3
109,Hampden,2014,882,32.91%,2
110,Hanlon-Longwood,2014,392,14.63%,1
111,Harlem Park,2014,720,26.87%,2
112,Harwood,2014,230,8.58%,1
113,Hawkins Point,2014,50,1.87%,1
114,Heritage Crossing,2014,152,5.67%,1
115,Herring Run Park,2014,18,0.67%,1
116,Highlandtown,2014,610,22.76%,2
117,Hillen,2014,274,10.22%,1
118,Hoes Heights,2014,116,4.33%,1
119,Holabird Industrial Park,2014,42,1.57%,1
120,Hollins Market,2014,484,18.06%,1
121,Homeland,2014,338,12.61%,1
122,Hopkins Bayview,2014,100,3.73%,1
123,Howard Park,2014,536,20.00%,1
124,Hunting Ridge,2014,252,9.40%,1
125,Idlewood,2014,176,6.57%,1
126,Inner Harbor,2014,1198,44.70%,3
127,Irvington,2014,654,24.40%,2
128,Johns Hopkins Homewood,2014,52,1.94%,1
129,Johnston Square,2014,364,13.58%,1
130,Jones Falls Area,2014,68,2.54%,1
131,Jonestown,2014,518,19.33%,1
132,Kenilworth Park,2014,126,4.70%,1
133,Kernewood,2014,48,1.79%,1
134,Keswick,2014,34,1.27%,1
135,Kresson,2014,94,3.51%,1
