,LABEL,YEAR,COUNT,Percentile,Rank
1,Abell,2010,226,6.41%,1
2,Allendale,2010,334,9.47%,1
3,Arcadia,2010,114,3.23%,1
4,Arlington,2010,428,12.14%,1
5,Armistead Gardens,2010,370,10.49%,1
6,Ashburton,2010,266,7.54%,1
7,Baltimore Highlands,2010,598,16.96%,1
8,Barclay,2010,526,14.92%,1
9,Barre Circle,2010,60,1.70%,1
10,Bayview,2010,340,9.64%,1
11,Beechfield,2010,310,8.79%,1
12,Belair-Edison,2010,1916,54.34%,3
13,Belair-Parkside,2010,68,1.93%,1
14,Bellona-Gittings,2010,12,0.34%,1
15,Belvedere,2010,96,2.72%,1
16,Berea,2010,490,13.90%,1
17,Better Waverly,2010,604,17.13%,1
18,Beverly Hills,2010,78,2.21%,1
19,Biddle Street,2010,138,3.91%,1
20,Blythewood,2010,2,0.06%,1
21,Bolton Hill,2010,496,14.07%,1
22,Boyd-Booth,2010,136,3.86%,1
23,Brewers Hill,2010,224,6.35%,1
24,Bridgeview/Greenlawn,2010,392,11.12%,1
25,Broadway East,2010,938,26.60%,2
26,Broening Manor,2010,204,5.79%,1
27,Brooklyn,2010,2004,56.83%,3
28,Burleith-Leighton,2010,126,3.57%,1
29,Butcher's Hill,2010,276,7.83%,1
30,Callaway-Garrison,2010,174,4.93%,1
31,Cameron Village,2010,176,4.99%,1
32,Canton,2010,1530,43.39%,3
33,Canton Industrial Area,2010,166,4.71%,1
34,CARE,2010,424,12.02%,1
35,Carroll-South Hilton,2010,152,4.31%,1
36,Carroll - Camden Industrial Area,2010,366,10.38%,1
37,Carroll Park,2010,56,1.59%,1
38,Carrollton Ridge,2010,944,26.77%,2
39,Cedarcroft,2010,38,1.08%,1
40,Cedmont,2010,282,8.00%,1
41,Cedonia,2010,234,6.64%,1
42,CENTRAL,NA,NA,0.00%,0
43,Central Forest Park,2010,162,4.59%,1
44,Central Park Heights,2010,1142,32.39%,2
45,Charles North,2010,812,23.03%,2
46,Charles Village,2010,866,24.56%,2
47,Cherry Hill,2010,1576,44.70%,3
48,Cheswolde,2010,190,5.39%,1
49,Chinquapin Park,2010,94,2.67%,1
50,Clifton Park,2010,246,6.98%,1
51,Coldspring,2010,152,4.31%,1
52,Coldstream Homestead Montebello,2010,1046,29.67%,2
53,Concerned Citizens Of Forest Park,2010,146,4.14%,1
54,Coppin Heights/Ash-Co-East,2010,520,14.75%,1
55,Cross Country,2010,170,4.82%,1
56,Cross Keys,2010,118,3.35%,1
57,Curtis Bay,2010,858,24.33%,2
58,Curtis Bay Industrial Area,2010,38,1.08%,1
59,Cylburn,2010,238,6.75%,1
60,Darley Park,2010,212,6.01%,1
61,Dickeyville,2010,32,0.91%,1
62,Dolfield,2010,330,9.36%,1
63,Dorchester,2010,354,10.04%,1
64,Downtown,2010,3526,100.00%,5
65,Downtown West,2010,406,11.51%,1
66,Druid Heights,2010,394,11.17%,1
67,Druid Hill Park,2010,60,1.70%,1
68,Dunbar-Broadway,2010,488,13.84%,1
69,Dundalk Marine Terminal,NA,NA,0.00%,0
70,East Arlington,2010,234,6.64%,1
71,East Baltimore Midway,2010,820,23.26%,2
72,EASTERN,NA,NA,0.00%,0
73,Easterwood,2010,298,8.45%,1
74,Eastwood,2010,44,1.25%,1
75,Edgewood,2010,204,5.79%,1
76,Edmondson Village,2010,280,7.94%,1
77,Ednor Gardens-Lakeside,2010,570,16.17%,1
78,Ellwood Park/Monument,2010,618,17.53%,1
79,Evergreen,2010,30,0.85%,1
80,Evergreen Lawn,2010,142,4.03%,1
81,Evesham Park,2010,100,2.84%,1
82,Fairfield Area,2010,158,4.48%,1
83,Fairmont,2010,44,1.25%,1
84,Fallstaff,2010,242,6.86%,1
85,Federal Hill,2010,730,20.70%,2
86,Fells Point,2010,926,26.26%,2
87,Forest Park,2010,158,4.48%,1
88,Forest Park Golf Course,2010,38,1.08%,1
89,Four By Four,2010,140,3.97%,1
90,Frankford,2010,2118,60.07%,4
91,Franklin Square,2010,510,14.46%,1
92,Franklintown,2010,124,3.52%,1
93,Franklintown Road,2010,200,5.67%,1
94,Garwyn Oaks,2010,156,4.42%,1
95,Gay Street,2010,306,8.68%,1
96,Glen,2010,594,16.85%,1
97,Glen Oaks,2010,298,8.45%,1
98,Glenham-Belhar,2010,606,17.19%,1
99,Graceland Park,2010,328,9.30%,1
100,Greektown,2010,446,12.65%,1
101,Greenmount Cemetery,2010,8,0.23%,1
102,Greenmount West,2010,270,7.66%,1
103,Greenspring,2010,338,9.59%,1
104,Grove Park,2010,180,5.10%,1
105,Guilford,2010,202,5.73%,1
106,Gwynns Falls,2010,190,5.39%,1
107,Gwynns Falls/Leakin Park,2010,20,0.57%,1
108,Hamilton Hills,2010,1172,33.24%,2
109,Hampden,2010,868,24.62%,2
110,Hanlon-Longwood,2010,422,11.97%,1
111,Harlem Park,2010,738,20.93%,2
112,Harwood,2010,250,7.09%,1
113,Hawkins Point,2010,76,2.16%,1
114,Heritage Crossing,2010,184,5.22%,1
115,Herring Run Park,2010,20,0.57%,1
116,Highlandtown,2010,536,15.20%,1
117,Hillen,2010,292,8.28%,1
118,Hoes Heights,2010,100,2.84%,1
119,Holabird Industrial Park,2010,28,0.79%,1
120,Hollins Market,2010,520,14.75%,1
121,Homeland,2010,220,6.24%,1
122,Hopkins Bayview,2010,132,3.74%,1
123,Howard Park,2010,592,16.79%,1
124,Hunting Ridge,2010,102,2.89%,1
125,Idlewood,2010,134,3.80%,1
126,Inner Harbor,2010,1238,35.11%,2
127,Irvington,2010,488,13.84%,1
128,Johns Hopkins Homewood,2010,124,3.52%,1
129,Johnston Square,2010,480,13.61%,1
130,Jones Falls Area,2010,88,2.50%,1
131,Jonestown,2010,402,11.40%,1
132,Kenilworth Park,2010,124,3.52%,1
133,Kernewood,2010,86,2.44%,1
134,Keswick,2010,26,0.74%,1
135,Kresson,2010,174,4.93%,1
136,Lake Evesham,2010,38,1.08%,1
137,Lake Walker,2010,194,5.50%,1
138,Lakeland,2010,686,19.46%,1
139,Langston Hughes,2010,142,4.03%,1
140,Lauraville,2010,360,10.21%,1
141,Levindale,2010,182,5.16%,1
142,Liberty Square,2010,204,5.79%,1
143,Little Italy,2010,154,4.37%,1
144,Loch Raven,2010,476,13.50%,1
145,Locust Point,2010,146,4.14%,1
146,Locust Point Industrial Area,2010,96,2.72%,1
147,Lower Edmondson Village,2010,36,1.02%,1
148,Lower Herring Run Park,2010,8,0.23%,1
149,Loyola/Notre Dame,2010,66,1.87%,1
150,Lucille Park,2010,126,3.57%,1
151,Madison-Eastend,2010,302,8.56%,1
152,Madison Park,2010,468,13.27%,1
153,Mayfield,2010,64,1.82%,1
154,McElderry Park,2010,1076,30.52%,2
155,Medfield,2010,150,4.25%,1
