,LABEL,YEAR,COUNT,Percentile,Rank
1,Abell,2013,224,6.81%,1
2,Allendale,2013,428,13.02%,1
3,Arcadia,2013,120,3.65%,1
4,Arlington,2013,392,11.92%,1
5,Armistead Gardens,2013,294,8.94%,1
6,Ashburton,2013,258,7.85%,1
7,Baltimore Highlands,2013,754,22.93%,2
8,Barclay,2013,572,17.40%,1
9,Barre Circle,2013,84,2.55%,1
10,Bayview,2013,232,7.06%,1
11,Beechfield,2013,244,7.42%,1
12,Belair-Edison,2013,2122,64.54%,4
13,Belair-Parkside,2013,60,1.82%,1
14,Bellona-Gittings,2013,14,0.43%,1
15,Belvedere,2013,102,3.10%,1
16,Berea,2013,508,15.45%,1
17,Better Waverly,2013,834,25.36%,2
18,Beverly Hills,2013,90,2.74%,1
19,Biddle Street,2013,170,5.17%,1
20,Blythewood,2013,2,0.06%,1
21,Bolton Hill,2013,602,18.31%,1
22,Boyd-Booth,2013,130,3.95%,1
23,Brewers Hill,2013,278,8.45%,1
24,Bridgeview/Greenlawn,2013,370,11.25%,1
25,Broadway East,2013,984,29.93%,2
26,Broening Manor,2013,250,7.60%,1
27,Brooklyn,2013,1348,41.00%,3
28,Burleith-Leighton,2013,134,4.08%,1
29,Butcher's Hill,2013,282,8.58%,1
30,Callaway-Garrison,2013,200,6.08%,1
31,Cameron Village,2013,168,5.11%,1
32,Canton,2013,1528,46.47%,3
33,Canton Industrial Area,2013,250,7.60%,1
34,CARE,2013,380,11.56%,1
35,Carroll-South Hilton,2013,144,4.38%,1
36,Carroll - Camden Industrial Area,2013,438,13.32%,1
37,Carroll Park,2013,74,2.25%,1
38,Carrollton Ridge,2013,714,21.72%,2
39,Cedarcroft,2013,64,1.95%,1
40,Cedmont,2013,360,10.95%,1
41,Cedonia,2013,208,6.33%,1
42,CENTRAL,NA,NA,0.00%,0
43,Central Forest Park,2013,200,6.08%,1
44,Central Park Heights,2013,990,30.11%,2
45,Charles North,2013,690,20.99%,2
46,Charles Village,2013,814,24.76%,2
47,Cherry Hill,2013,1352,41.12%,3
48,Cheswolde,2013,270,8.21%,1
49,Chinquapin Park,2013,136,4.14%,1
50,Clifton Park,2013,248,7.54%,1
51,Coldspring,2013,106,3.22%,1
52,Coldstream Homestead Montebello,2013,1196,36.37%,2
53,Concerned Citizens Of Forest Park,2013,160,4.87%,1
54,Coppin Heights/Ash-Co-East,2013,396,12.04%,1
55,Cross Country,2013,176,5.35%,1
56,Cross Keys,2013,88,2.68%,1
57,Curtis Bay,2013,676,20.56%,2
58,Curtis Bay Industrial Area,2013,14,0.43%,1
59,Cylburn,2013,358,10.89%,1
60,Darley Park,2013,146,4.44%,1
61,Dickeyville,2013,32,0.97%,1
62,Dolfield,2013,328,9.98%,1
63,Dorchester,2013,312,9.49%,1
64,Downtown,2013,3288,100.00%,5
65,Downtown West,2013,430,13.08%,1
66,Druid Heights,2013,380,11.56%,1
67,Druid Hill Park,2013,96,2.92%,1
68,Dunbar-Broadway,2013,590,17.94%,1
69,Dundalk Marine Terminal,NA,NA,0.00%,0
70,East Arlington,2013,196,5.96%,1
71,East Baltimore Midway,2013,766,23.30%,2
72,EASTERN,NA,NA,0.00%,0
73,Easterwood,2013,240,7.30%,1
74,Eastwood,2013,44,1.34%,1
75,Edgewood,2013,214,6.51%,1
76,Edmondson Village,2013,324,9.85%,1
77,Ednor Gardens-Lakeside,2013,636,19.34%,1
78,Ellwood Park/Monument,2013,720,21.90%,2
79,Evergreen,2013,28,0.85%,1
80,Evergreen Lawn,2013,174,5.29%,1
81,Evesham Park,2013,82,2.49%,1
82,Fairfield Area,2013,158,4.81%,1
83,Fairmont,2013,182,5.54%,1
84,Fallstaff,2013,312,9.49%,1
85,Federal Hill,2013,608,18.49%,1
86,Fells Point,2013,1224,37.23%,2
87,Forest Park,2013,190,5.78%,1
88,Forest Park Golf Course,2013,40,1.22%,1
89,Four By Four,2013,184,5.60%,1
90,Frankford,2013,2388,72.63%,4
91,Franklin Square,2013,534,16.24%,1
92,Franklintown,2013,120,3.65%,1
93,Franklintown Road,2013,234,7.12%,1
94,Garwyn Oaks,2013,158,4.81%,1
95,Gay Street,2013,450,13.69%,1
96,Glen,2013,618,18.80%,1
97,Glen Oaks,2013,382,11.62%,1
98,Glenham-Belhar,2013,666,20.26%,2
99,Graceland Park,2013,350,10.64%,1
100,Greektown,2013,436,13.26%,1
101,Greenmount Cemetery,2013,4,0.12%,1
102,Greenmount West,2013,326,9.91%,1
103,Greenspring,2013,366,11.13%,1
104,Grove Park,2013,180,5.47%,1
105,Guilford,2013,242,7.36%,1
106,Gwynns Falls,2013,134,4.08%,1
107,Gwynns Falls/Leakin Park,2013,30,0.91%,1
108,Hamilton Hills,2013,1262,38.38%,2
109,Hampden,2013,1068,32.48%,2
110,Hanlon-Longwood,2013,370,11.25%,1
111,Harlem Park,2013,834,25.36%,2
112,Harwood,2013,222,6.75%,1
113,Hawkins Point,2013,70,2.13%,1
114,Heritage Crossing,2013,178,5.41%,1
115,Herring Run Park,2013,24,0.73%,1
116,Highlandtown,2013,614,18.67%,1
117,Hillen,2013,246,7.48%,1
118,Hoes Heights,2013,138,4.20%,1
119,Holabird Industrial Park,2013,40,1.22%,1
120,Hollins Market,2013,444,13.50%,1
121,Homeland,2013,380,11.56%,1
122,Hopkins Bayview,2013,120,3.65%,1
123,Howard Park,2013,646,19.65%,1
124,Hunting Ridge,2013,170,5.17%,1
125,Idlewood,2013,176,5.35%,1
126,Inner Harbor,2013,1200,36.50%,2
127,Irvington,2013,538,16.36%,1
128,Johns Hopkins Homewood,2013,92,2.80%,1
129,Johnston Square,2013,456,13.87%,1
130,Jones Falls Area,2013,102,3.10%,1
131,Jonestown,2013,608,18.49%,1
132,Kenilworth Park,2013,100,3.04%,1
133,Kernewood,2013,90,2.74%,1
134,Keswick,2013,34,1.03%,1
135,Kresson,2013,180,5.47%,1
136,Lake Evesham,2013,66,2.01%,1
137,Lake Walker,2013,158,4.81%,1
138,Lakeland,2013,656,19.95%,1
139,Langston Hughes,2013,258,7.85%,1
140,Lauraville,2013,392,11.92%,1
141,Levindale,2013,156,4.74%,1
142,Liberty Square,2013,254,7.73%,1
143,Little Italy,2013,286,8.70%,1
144,Loch Raven,2013,588,17.88%,1
145,Locust Point,2013,136,4.14%,1
146,Locust Point Industrial Area,2013,86,2.62%,1
147,Lower Edmondson Village,2013,64,1.95%,1
148,Lower Herring Run Park,2013,10,0.30%,1
149,Loyola/Notre Dame,2013,46,1.40%,1
150,Lucille Park,2013,106,3.22%,1
151,Madison-Eastend,2013,462,14.05%,1
152,Madison Park,2013,552,16.79%,1
153,Mayfield,2013,132,4.01%,1
154,McElderry Park,2013,1094,33.27%,2
155,Medfield,2013,164,4.99%,1
156,Medford,2013,216,6.57%,1
157,Mid-Govans,2013,194,5.90%,1
158,Mid-Town Belvedere,2013,892,27.13%,2
159,Middle Branch/Reedbird Parks,2013,88,2.68%,1
160,Middle East,2013,390,11.86%,1
161,Midtown-Edmondson,2013,394,11.98%,1
162,Millhill,2013,590,17.94%,1
163,Milton-Montford,2013,328,9.98%,1
164,Mondawmin,2013,1196,36.37%,2
165,Montebello,2013,70,2.13%,1
166,Moravia-Walther,2013,114,3.47%,1
167,Morgan Park,2013,22,0.67%,1
168,Morgan State University,2013,34,1.03%,1
169,Morrell Park,2013,622,18.92%,1
170,Mosher,2013,238,7.24%,1
171,Mount Holly,2013,222,6.75%,1
172,Mount Vernon,2013,1018,30.96%,2
173,Mount Washington,2013,226,6.87%,1
174,Mount Winans,2013,100,3.04%,1
175,Mt Pleasant Park,2013,10,0.30%,1
176,New Northwood,2013,406,12.35%,1
177,New Southwest/Mount Clare,2013,490,14.90%,1
178,North Harford Road,2013,478,14.54%,1
179,North Roland Park/Poplar Hill,2013,102,3.10%,1
180,NORTHEASTERN,NA,NA,0.00%,0
181,NORTHERN,NA,NA,0.00%,0
182,Northwest Community Action,2013,196,5.96%,1
183,NORTHWESTERN,NA,NA,0.00%,0
184,O'Donnell Heights,2013,86,2.62%,1
185,Oakenshawe,2013,144,4.38%,1
186,Oaklee,2013,68,2.07%,1
187,Old Goucher,2013,260,7.91%,1
188,Oldtown,2013,500,15.21%,1
189,Oliver,2013,850,25.85%,2
190,Orangeville,2013,134,4.08%,1
191,Orangeville Industrial Area,2013,90,2.74%,1
192,Orchard Ridge,2013,240,7.30%,1
193,Original Northwood,2013,152,4.62%,1
194,Otterbein,2013,184,5.60%,1
195,Overlea,2013,54,1.64%,1
196,Panway/Braddish Avenue,2013,132,4.01%,1
197,Park Circle,2013,468,14.23%,1
198,Parklane,2013,226,6.87%,1
199,Parkside,2013,230,7.00%,1
200,Parkview/Woodbrook,2013,268,8.15%,1
201,Patterson Park,2013,102,3.10%,1
202,Patterson Park Neighborhood,2013,1266,38.50%,2
203,Patterson Place,2013,304,9.25%,1
204,Pen Lucy,2013,344,10.46%,1
205,Penn-Fallsway,2013,342,10.40%,1
206,Penn North,2013,494,15.02%,1
207,Penrose/Fayette Street Outreach,2013,708,21.53%,2
208,Perkins Homes,2013,284,8.64%,1
209,Perring Loch,2013,282,8.58%,1
210,Pimlico Good Neighbors,2013,170,5.17%,1
211,Pleasant View Gardens,2013,172,5.23%,1
212,Poppleton,2013,612,18.61%,1
213,Port Covington,2013,146,4.44%,1
214,Pulaski Industrial Area,2013,632,19.22%,1
215,Purnell,2013,60,1.82%,1
216,Radnor-Winston,2013,50,1.52%,1
217,Ramblewood,2013,150,4.56%,1
218,Reisterstown Station,2013,812,24.70%,2
219,Remington,2013,330,10.04%,1
220,Reservoir Hill,2013,854,25.97%,2
221,Richnor Springs,2013,62,1.89%,1
222,Ridgely's Delight,2013,156,4.74%,1
223,Riverside,2013,658,20.01%,2
224,Rognel Heights,2013,260,7.91%,1
225,Roland Park,2013,260,7.91%,1
226,Rosebank,2013,70,2.13%,1
227,Rosemont,2013,400,12.17%,1
228,Rosemont East,2013,220,6.69%,1
229,Rosemont Homeowners/Tenants,2013,290,8.82%,1
230,Sabina-Mattfeldt,2013,28,0.85%,1
231,Saint Agnes,2013,48,1.46%,1
232,Saint Helena,2013,66,2.01%,1
