,LABEL,YEAR,COUNT,Percentile,Rank
1,Abell,2012,254,6.45%,1
2,Allendale,2012,392,9.96%,1
3,Arcadia,2012,120,3.05%,1
4,Arlington,2012,434,11.03%,1
5,Armistead Gardens,2012,384,9.76%,1
6,Ashburton,2012,264,6.71%,1
7,Baltimore Highlands,2012,642,16.31%,1
8,Barclay,2012,534,13.57%,1
9,Barre Circle,2012,44,1.12%,1
10,Bayview,2012,284,7.22%,1
11,Beechfield,2012,294,7.47%,1
12,Belair-Edison,2012,1976,50.20%,3
13,Belair-Parkside,2012,46,1.17%,1
14,Bellona-Gittings,2012,12,0.30%,1
15,Belvedere,2012,98,2.49%,1
16,Berea,2012,500,12.70%,1
17,Better Waverly,2012,710,18.04%,1
18,Beverly Hills,2012,102,2.59%,1
19,Biddle Street,2012,210,5.34%,1
20,Blythewood,NA,NA,0.00%,0
21,Bolton Hill,2012,610,15.50%,1
22,Boyd-Booth,2012,112,2.85%,1
23,Brewers Hill,2012,228,5.79%,1
24,Bridgeview/Greenlawn,2012,318,8.08%,1
25,Broadway East,2012,884,22.46%,2
26,Broening Manor,2012,256,6.50%,1
27,Brooklyn,2012,1408,35.77%,2
28,Burleith-Leighton,2012,140,3.56%,1
29,Butcher's Hill,2012,312,7.93%,1
30,Callaway-Garrison,2012,190,4.83%,1
31,Cameron Village,2012,162,4.12%,1
32,Canton,2012,1518,38.57%,2
33,Canton Industrial Area,2012,174,4.42%,1
34,CARE,2012,428,10.87%,1
35,Carroll-South Hilton,2012,146,3.71%,1
36,Carroll - Camden Industrial Area,2012,374,9.50%,1
37,Carroll Park,2012,56,1.42%,1
38,Carrollton Ridge,2012,1030,26.17%,2
39,Cedarcroft,2012,64,1.63%,1
40,Cedmont,2012,300,7.62%,1
41,Cedonia,2012,244,6.20%,1
42,CENTRAL,NA,NA,0.00%,0
43,Central Forest Park,2012,172,4.37%,1
44,Central Park Heights,2012,1008,25.61%,2
45,Charles North,2012,794,20.17%,2
46,Charles Village,2012,754,19.16%,1
47,Cherry Hill,2012,1586,40.29%,3
48,Cheswolde,2012,188,4.78%,1
49,Chinquapin Park,2012,132,3.35%,1
50,Clifton Park,2012,220,5.59%,1
51,Coldspring,2012,138,3.51%,1
52,Coldstream Homestead Montebello,2012,1366,34.71%,2
53,Concerned Citizens Of Forest Park,2012,166,4.22%,1
54,Coppin Heights/Ash-Co-East,2012,404,10.26%,1
55,Cross Country,2012,202,5.13%,1
56,Cross Keys,2012,108,2.74%,1
57,Curtis Bay,2012,734,18.65%,1
58,Curtis Bay Industrial Area,2012,42,1.07%,1
59,Cylburn,2012,350,8.89%,1
60,Darley Park,2012,160,4.07%,1
61,Dickeyville,2012,50,1.27%,1
62,Dolfield,2012,258,6.55%,1
63,Dorchester,2012,302,7.67%,1
64,Downtown,2012,3936,100.00%,5
65,Downtown West,2012,470,11.94%,1
66,Druid Heights,2012,406,10.32%,1
67,Druid Hill Park,2012,164,4.17%,1
68,Dunbar-Broadway,2012,486,12.35%,1
69,Dundalk Marine Terminal,NA,NA,0.00%,0
