,LABEL,YEAR,COUNT,Percentile,Rank
1,Abell,2011,180,4.96%,1
2,Allendale,2011,444,12.24%,1
3,Arcadia,2011,148,4.08%,1
4,Arlington,2011,362,9.98%,1
5,Armistead Gardens,2011,492,13.57%,1
6,Ashburton,2011,284,7.83%,1
7,Baltimore Highlands,2011,570,15.72%,1
8,Barclay,2011,544,15.00%,1
9,Barre Circle,2011,64,1.77%,1
10,Bayview,2011,296,8.16%,1
11,Beechfield,2011,324,8.94%,1
12,Belair-Edison,2011,2212,61.00%,4
13,Belair-Parkside,2011,76,2.10%,1
14,Bellona-Gittings,2011,36,0.99%,1
15,Belvedere,2011,100,2.76%,1
16,Berea,2011,490,13.51%,1
17,Better Waverly,2011,696,19.19%,1
18,Beverly Hills,2011,116,3.20%,1
19,Biddle Street,2011,218,6.01%,1
20,Blythewood,2011,2,0.06%,1
21,Bolton Hill,2011,648,17.87%,1
22,Boyd-Booth,2011,122,3.36%,1
23,Brewers Hill,2011,214,5.90%,1
24,Bridgeview/Greenlawn,2011,422,11.64%,1
25,Broadway East,2011,998,27.52%,2
26,Broening Manor,2011,214,5.90%,1
27,Brooklyn,2011,1882,51.90%,3
28,Burleith-Leighton,2011,106,2.92%,1
29,Butcher's Hill,2011,358,9.87%,1
30,Callaway-Garrison,2011,174,4.80%,1
31,Cameron Village,2011,108,2.98%,1
32,Canton,2011,1552,42.80%,3
33,Canton Industrial Area,2011,212,5.85%,1
34,CARE,2011,362,9.98%,1
35,Carroll-South Hilton,2011,114,3.14%,1
36,Carroll - Camden Industrial Area,2011,292,8.05%,1
37,Carroll Park,2011,44,1.21%,1
38,Carrollton Ridge,2011,924,25.48%,2
39,Cedarcroft,2011,66,1.82%,1
40,Cedmont,2011,326,8.99%,1
41,Cedonia,2011,264,7.28%,1
42,CENTRAL,NA,NA,0.00%,0
43,Central Forest Park,2011,158,4.36%,1
44,Central Park Heights,2011,1054,29.07%,2
45,Charles North,2011,622,17.15%,1
46,Charles Village,2011,802,22.12%,2
47,Cherry Hill,2011,1528,42.14%,3
48,Cheswolde,2011,198,5.46%,1
49,Chinquapin Park,2011,124,3.42%,1
50,Clifton Park,2011,294,8.11%,1
51,Coldspring,2011,108,2.98%,1
52,Coldstream Homestead Montebello,2011,1264,34.86%,2
53,Concerned Citizens Of Forest Park,2011,144,3.97%,1
54,Coppin Heights/Ash-Co-East,2011,436,12.02%,1
55,Cross Country,2011,158,4.36%,1
56,Cross Keys,2011,130,3.59%,1
57,Curtis Bay,2011,806,22.23%,2
58,Curtis Bay Industrial Area,2011,44,1.21%,1
59,Cylburn,2011,326,8.99%,1
60,Darley Park,2011,230,6.34%,1
61,Dickeyville,2011,20,0.55%,1
62,Dolfield,2011,302,8.33%,1
63,Dorchester,2011,344,9.49%,1
64,Downtown,2011,3626,100.00%,5
65,Downtown West,2011,402,11.09%,1
66,Druid Heights,2011,438,12.08%,1
67,Druid Hill Park,2011,118,3.25%,1
68,Dunbar-Broadway,2011,494,13.62%,1
69,Dundalk Marine Terminal,NA,NA,0.00%,0
70,East Arlington,2011,206,5.68%,1
71,East Baltimore Midway,2011,932,25.70%,2
72,EASTERN,NA,NA,0.00%,0
73,Easterwood,2011,272,7.50%,1
74,Eastwood,2011,46,1.27%,1
75,Edgewood,2011,240,6.62%,1
76,Edmondson Village,2011,408,11.25%,1
77,Ednor Gardens-Lakeside,2011,704,19.42%,1
78,Ellwood Park/Monument,2011,704,19.42%,1
79,Evergreen,2011,24,0.66%,1
80,Evergreen Lawn,2011,128,3.53%,1
81,Evesham Park,2011,58,1.60%,1
82,Fairfield Area,2011,162,4.47%,1
83,Fairmont,2011,180,4.96%,1
84,Fallstaff,2011,224,6.18%,1
85,Federal Hill,2011,582,16.05%,1
86,Fells Point,2011,1288,35.52%,2
87,Forest Park,2011,172,4.74%,1
88,Forest Park Golf Course,2011,18,0.50%,1
89,Four By Four,2011,206,5.68%,1
90,Frankford,2011,2326,64.15%,4
91,Franklin Square,2011,516,14.23%,1
92,Franklintown,2011,82,2.26%,1
93,Franklintown Road,2011,272,7.50%,1
94,Garwyn Oaks,2011,128,3.53%,1
95,Gay Street,2011,420,11.58%,1
96,Glen,2011,590,16.27%,1
97,Glen Oaks,2011,296,8.16%,1
98,Glenham-Belhar,2011,668,18.42%,1
99,Graceland Park,2011,394,10.87%,1
100,Greektown,2011,450,12.41%,1
101,Greenmount Cemetery,2011,4,0.11%,1
102,Greenmount West,2011,338,9.32%,1
103,Greenspring,2011,312,8.60%,1
104,Grove Park,2011,216,5.96%,1
105,Guilford,2011,254,7.00%,1
106,Gwynns Falls,2011,190,5.24%,1
107,Gwynns Falls/Leakin Park,2011,48,1.32%,1
108,Hamilton Hills,2011,1362,37.56%,2
109,Hampden,2011,790,21.79%,2
110,Hanlon-Longwood,2011,400,11.03%,1
111,Harlem Park,2011,780,21.51%,2
112,Harwood,2011,284,7.83%,1
113,Hawkins Point,2011,116,3.20%,1
114,Heritage Crossing,2011,206,5.68%,1
115,Herring Run Park,2011,16,0.44%,1
116,Highlandtown,2011,548,15.11%,1
117,Hillen,2011,328,9.05%,1
118,Hoes Heights,2011,58,1.60%,1
119,Holabird Industrial Park,2011,62,1.71%,1
120,Hollins Market,2011,532,14.67%,1
121,Homeland,2011,272,7.50%,1
122,Hopkins Bayview,2011,152,4.19%,1
123,Howard Park,2011,626,17.26%,1
124,Hunting Ridge,2011,132,3.64%,1
125,Idlewood,2011,168,4.63%,1
126,Inner Harbor,2011,1278,35.25%,2
127,Irvington,2011,462,12.74%,1
128,Johns Hopkins Homewood,2011,76,2.10%,1
129,Johnston Square,2011,534,14.73%,1
130,Jones Falls Area,2011,112,3.09%,1
131,Jonestown,2011,592,16.33%,1
132,Kenilworth Park,2011,116,3.20%,1
133,Kernewood,2011,68,1.88%,1
134,Keswick,2011,34,0.94%,1
135,Kresson,2011,160,4.41%,1
136,Lake Evesham,2011,38,1.05%,1
137,Lake Walker,2011,150,4.14%,1
138,Lakeland,2011,714,19.69%,1
139,Langston Hughes,2011,154,4.25%,1
140,Lauraville,2011,542,14.95%,1
141,Levindale,2011,192,5.30%,1
142,Liberty Square,2011,234,6.45%,1
143,Little Italy,2011,286,7.89%,1
144,Loch Raven,2011,542,14.95%,1
145,Locust Point,2011,118,3.25%,1
146,Locust Point Industrial Area,2011,82,2.26%,1
147,Lower Edmondson Village,2011,62,1.71%,1
148,Lower Herring Run Park,2011,14,0.39%,1
149,Loyola/Notre Dame,2011,28,0.77%,1
150,Lucille Park,2011,96,2.65%,1
151,Madison-Eastend,2011,436,12.02%,1
152,Madison Park,2011,418,11.53%,1
153,Mayfield,2011,88,2.43%,1
154,McElderry Park,2011,946,26.09%,2
155,Medfield,2011,138,3.81%,1
156,Medford,2011,170,4.69%,1
157,Mid-Govans,2011,136,3.75%,1
158,Mid-Town Belvedere,2011,1000,27.58%,2
159,Middle Branch/Reedbird Parks,2011,126,3.47%,1
160,Middle East,2011,404,11.14%,1
161,Midtown-Edmondson,2011,450,12.41%,1
162,Millhill,2011,500,13.79%,1
163,Milton-Montford,2011,304,8.38%,1
164,Mondawmin,2011,1360,37.51%,2
165,Montebello,2011,106,2.92%,1
166,Moravia-Walther,2011,110,3.03%,1
167,Morgan Park,2011,18,0.50%,1
168,Morgan State University,2011,48,1.32%,1
169,Morrell Park,2011,674,18.59%,1
170,Mosher,2011,322,8.88%,1
171,Mount Holly,2011,256,7.06%,1
172,Mount Vernon,2011,1168,32.21%,2
173,Mount Washington,2011,264,7.28%,1
174,Mount Winans,2011,122,3.36%,1
175,Mt Pleasant Park,2011,2,0.06%,1
176,New Northwood,2011,492,13.57%,1
177,New Southwest/Mount Clare,2011,556,15.33%,1
178,North Harford Road,2011,584,16.11%,1
179,North Roland Park/Poplar Hill,2011,64,1.77%,1
180,NORTHEASTERN,2011,6,0.17%,1
181,NORTHERN,NA,NA,0.00%,0
182,Northwest Community Action,2011,250,6.89%,1
183,NORTHWESTERN,NA,NA,0.00%,0
184,O'Donnell Heights,2011,110,3.03%,1
185,Oakenshawe,2011,136,3.75%,1
186,Oaklee,2011,42,1.16%,1
187,Old Goucher,2011,274,7.56%,1
188,Oldtown,2011,674,18.59%,1
189,Oliver,2011,792,21.84%,2
190,Orangeville,2011,138,3.81%,1
191,Orangeville Industrial Area,2011,82,2.26%,1
192,Orchard Ridge,2011,174,4.80%,1
193,Original Northwood,2011,200,5.52%,1
194,Otterbein,2011,260,7.17%,1
195,Overlea,2011,74,2.04%,1
196,Panway/Braddish Avenue,2011,200,5.52%,1
197,Park Circle,2011,492,13.57%,1
198,Parklane,2011,254,7.00%,1
199,Parkside,2011,302,8.33%,1
200,Parkview/Woodbrook,2011,284,7.83%,1
201,Patterson Park,2011,128,3.53%,1
202,Patterson Park Neighborhood,2011,1094,30.17%,2
203,Patterson Place,2011,322,8.88%,1
204,Pen Lucy,2011,282,7.78%,1
205,Penn-Fallsway,2011,378,10.42%,1
206,Penn North,2011,454,12.52%,1
207,Penrose/Fayette Street Outreach,2011,636,17.54%,1
208,Perkins Homes,2011,306,8.44%,1
209,Perring Loch,2011,286,7.89%,1
210,Pimlico Good Neighbors,2011,158,4.36%,1
211,Pleasant View Gardens,2011,160,4.41%,1
212,Poppleton,2011,606,16.71%,1
213,Port Covington,2011,90,2.48%,1
214,Pulaski Industrial Area,2011,630,17.37%,1
215,Purnell,2011,72,1.99%,1
216,Radnor-Winston,2011,36,0.99%,1
217,Ramblewood,2011,164,4.52%,1
218,Reisterstown Station,2011,656,18.09%,1
219,Remington,2011,438,12.08%,1
220,Reservoir Hill,2011,1012,27.91%,2
221,Richnor Springs,2011,52,1.43%,1
222,Ridgely's Delight,2011,240,6.62%,1
223,Riverside,2011,572,15.77%,1
224,Rognel Heights,2011,236,6.51%,1
225,Roland Park,2011,238,6.56%,1
226,Rosebank,2011,76,2.10%,1
227,Rosemont,2011,482,13.29%,1
228,Rosemont East,2011,218,6.01%,1
229,Rosemont Homeowners/Tenants,2011,324,8.94%,1
230,Sabina-Mattfeldt,2011,42,1.16%,1
231,Saint Agnes,2011,102,2.81%,1
232,Saint Helena,2011,88,2.43%,1
233,Saint Josephs,2011,234,6.45%,1
234,Saint Paul,2011,32,0.88%,1
235,Sandtown-Winchester,2011,1434,39.55%,2
236,Seton Business Park,2011,122,3.36%,1
237,Seton Hill,2011,312,8.60%,1
238,Sharp-Leadenhall,2011,210,5.79%,1
239,Shipley Hill,2011,346,9.54%,1
240,South Baltimore,2011,310,8.55%,1
241,South Clifton Park,2011,272,7.50%,1
242,SOUTHEASTERN,NA,NA,0.00%,0
243,SOUTHERN,NA,NA,0.00%,0
244,SOUTHWESTERN,NA,NA,0.00%,0
245,Spring Garden Industrial Area,2011,32,0.88%,1
